2026-01-05 21:26:21 [INFO] ==== Merge Features Started (run_id=MERGE_20260105_212621) ====
2026-01-05 21:26:21 [INFO] Dry-run mode: False
2026-01-05 21:26:21 [INFO] Creating SQLAlchemy engine...
2026-01-05 21:26:22 [INFO] Connected to Azure SQL successfully.
2026-01-05 21:27:53 [INFO] Inserting batch 281 (100 rows)...
2026-01-05 21:27:53 [INFO] Inserting batch 282 (100 rows)...
2026-01-05 21:27:53 [INFO] Inserting batch 283 (100 rows)...
2026-01-05 21:27:53 [INFO] Inserting batch 284 (100 rows)...
2026-01-05 21:27:53 [INFO] Inserting batch 285 (100 rows)...
2026-01-05 21:27:53 [INFO] Inserting batch 286 (100 rows)...
2026-01-05 21:27:53 [INFO] Inserting batch 287 (100 rows)...
2026-01-05 21:27:53 [INFO] Inserting batch 288 (100 rows)...
2026-01-05 21:27:53 [INFO] Inserting batch 289 (28 rows)...
2026-01-05 21:27:53 [INFO] All batches inserted successfully.
2026-01-05 21:27:53 [INFO] ==== Merge Features Completed Successfully ====
